21-07-2016 11:46:51 | ::1 |  
21-07-2016 11:47:05 | ::1 |  
21-07-2016 11:47:31 | ::1 |  
21-07-2016 11:47:55 | ::1 |  
21-07-2016 11:48:16 | ::1 |  
21-07-2016 11:48:16 | ::1 |  
21-07-2016 11:48:26 | ::1 |  
21-07-2016 11:48:26 | ::1 |  
21-07-2016 11:49:11 | ::1 | 1 
21-07-2016 11:49:11 | ::1 |  
21-07-2016 11:49:37 | ::1 | https://www.youtube.com/embed/jI5jxC7Nsms 
21-07-2016 11:50:24 | ::1 |  
21-07-2016 11:50:31 | ::1 | https://www.youtube.com/embed/jI5jxC7Nsms 
21-07-2016 11:52:06 | ::1 | Array 
